"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";7;"";;;
2;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"LIGHT";;;
3;"SW1,SW2";"SW_PUSH_6mm";2;"SW_Push";;;
4;"SW3";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
5;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
6;"RV1";"Potentiometer_Piher_PT-6-V_Vertical";1;"10k";;;
7;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"BATT";;;
8;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
9;"U4";"PinHeader_2x07_P2.54mm_Vertical";1;"NHD-0420H1Z";;;
10;"C18,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
11;"C19,C22";"CP_Elec_6.3x5.4";2;"100u";;;
12;"C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470p";;;
13;"D12";"D_SOD-123";1;"MBR0520";;;
14;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"PWR";;;
15;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1";;;
16;"R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"33k";;;
17;"R13,R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100k";;;
18;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MC34063AD";;;
19;"C4,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22pF";;;
20;"L4";"L_Radial_D6.0mm_P4.00mm";1;"10u";;;
21;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
22;"D1,D2,D3";"SOT-23";3;"BAT54C";;;
23;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"USART";;;
24;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
25;"Q1";"SOT-23";1;"BC817";;;
